"Station","Latitude","Longitude","Elevation","CountryCode","Name","YearFirst","YearLast"
"EIM00003953",51.9381,-10.2433,23.9,"EI","Valentia Observatory",1949,2017
"GMM00010035",54.5333,9.55,47,"GM","Schleswig",1954,2017
"GMM00010338",52.45,9.7167,52,"GM","Hannover",1949,1972
"GMM00010384",52.4667,13.4,50,"GM","Berlin/Tempelhof",1941,1972
"GMM00010513",50.8667,7.1333,91,"GM","Koln/Bonn",1962,1965
"GMM00010548",50.5617,10.3772,450,"GM","Meiningen",1969,2017
"GMM00010633",50.05,8.33,139,"GM","Wiesbaden",1946,1957
"GMM00010866",48.354,11.786,453,"GM","Munich/Riem",1946,1976
"GMM00010868",48.2442,11.5525,484,"GM","Muenchen-Oberschleissheim",1976,2017
"ICM00004018",63.9806,-22.595,52,"IC","Keflavikurflugvollur",1946,2017
"ITM00016242",41.8,12.233,3,"IT","Roma Fiumicino",1952,1986
"PLM00012425",51.1131,16.8811,119.6,"PL","Wroclaw I",1956,2017
"POM00008579",38.7667,-9.1333,104,"PO","Lisboa/Gago Coutinho",1948,2017
"SWM00002062",63.1833,14.5,366,"SW","Ostersund/Froson",1949,1972
"SWM00002077",59.35,17.95,22,"SW","Stockholm/Bromma",1949,1972
"SWM00002084",57.7167,11.7833,5,"SW","Goteburg/Torslanda",1949,1972
"SWM00002185",65.5433,22.1144,17,"SW","Lulea-Kallax",1949,2017
"SWM00002365",62.5317,17.4361,3.9,"SW","Sundsvall Harnosand",1965,2017
"SWM00002515",58.183,12.15,20,"SW","Torpabron",1977,1977
"SWM00002527",57.6572,12.2911,164,"SW","Goteborg/Landvetter",1977,2017
"SWM00002591",57.65,18.35,45,"SW","Visby Aerologiska Station",1977,2017
"UKM00003005",60.1392,-1.1847,82,"UK","Lerwick",1941,2017
"UKM00003502",52.1394,-4.5711,133,"UK","Aberporth",1969,2017
"UKM00003743",51.2017,-1.8058,132,"UK","Larkhill",1942,2017
"UPM00033345",50.4,30.5667,166,"UP","Kiev",1939,2017
"UPM00033393",49.8167,23.95,319,"UP","Lviv",1947,2017
"UPM00033658",48.3667,25.9,242,"UP","Chernivtsi",1950,2017
"UPM00033837",46.4333,30.7667,42,"UP","Odesa",1939,2017
"UPM00033946",44.6833,34.1333,180,"UP","Simferopol",1950,2010
"UPM00034300",49.9667,36.1333,154,"UP","Kharkiv",1939,2017
